model,fold,train_start,train_end,test_start,test_end,train_bars,fit_seconds,error,n,mae,rmse,mape,smape,mase,directional_accuracy,path_directional_accuracy,return_correlation,interval_coverage,coverage_error,mean_interval_width,relative_interval_width,winkler_score,interval_level
arima,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,1.9544705000007525,,30,4780.615793418002,5133.212480210228,21.21132885889225,24.11207963752859,9.789564316719723,0.0,0.41379310344827586,0.17175044933064249,0.9,0.04999999999999993,10295.053826794032,0.4606935010007959,10942.966624814795,0.95
ets,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,0.2462742000061553,,30,4810.727560641423,5165.952641321506,21.34456106425579,24.28490110407186,9.851226055429125,0.0,0.4482758620689655,-0.8848140010110813,0.9333333333333333,0.016666666666666607,10900.157645524658,0.4869173697120451,11261.297090424112,0.95
prophet,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,5.499810599998455,,30,7022.462618352696,7488.850426546715,31.235435780997715,37.843228832295246,14.380333504059255,0.0,0.3448275862068966,-0.9378744821005046,0.13333333333333333,0.8166666666666667,6398.373893697601,0.29491133560548016,156105.55392033627,0.95
prophet_xgb_hybrid,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,11.039979400011362,,30,6474.6489018988395,7060.080281104946,28.628176596879733,34.40421946320844,13.258541282607382,0.03333333333333333,0.3793103448275862,-0.9089281886754237,0.1,0.85,7395.429282698418,0.3302590483791418,100098.50407313333,0.95
random_walk,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,0.03757240000413731,,30,4885.258593726667,7922.519873005244,6.399889894500606,6.958789588515277,6.699141813224266,0.3333333333333333,0.4827586206896552,,1.0,0.050000000000000044,33921.78593613457,0.489673429699752,33921.78593613457,0.95
random_walk_drift,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,0.021745200006989762,,30,4446.8747708323635,6845.712704530502,5.899614204720509,6.292480914137298,6.097987270051552,0.6666666666666666,0.5172413793103449,0.8252598160843498,1.0,0.050000000000000044,34673.350988509395,0.500130927611337,34673.350988509395,0.95
historical_mean_return,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,0.035165900000720285,,30,5903.383955322599,9262.327842229499,7.780707156758392,8.566267498910381,8.095294350518794,0.3333333333333333,0.4827586206896552,-0.8208225016916325,0.7333333333333333,0.21666666666666667,20889.14340665632,0.30191908153830715,34568.00256277672,0.95
arima,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,1.5320554999925662,,30,4882.537719318323,7917.547510821203,6.39652941438175,6.954575457699072,6.695410685553588,0.6666666666666666,0.5517241379310345,-0.04731120918203152,1.0,0.050000000000000044,33123.83891416489,0.4782008345752399,33123.83891416489,0.95
ets,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,0.3626854000031017,,30,4953.5377333845945,8040.33125139868,6.486913280132287,7.064758382067536,6.792772811599823,0.3333333333333333,0.4827586206896552,-0.7731100581855136,1.0,0.050000000000000044,35421.607253012786,0.5100059373508499,35421.607253012786,0.95
prophet,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,16.818747600002098,,30,18393.54828022823,19629.4240084094,28.05072270444688,24.112879914965816,25.223022694411437,0.6666666666666666,0.41379310344827586,-0.12135477586039277,0.7333333333333333,0.21666666666666667,55965.17840691912,0.8262550237571848,65631.32763922328,0.95
prophet_xgb_hybrid,2,2017-01-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-30 00:00:00+00:00,2026-08-28 00:00:00+00:00,3497,45.39087329999893,,30,21267.882829190774,22366.68820902759,32.2286440794975,27.26291773950898,29.164589838242236,0.6666666666666666,0.41379310344827586,0.11682867833012558,0.3,0.6499999999999999,36778.177436338396,0.5280556385239078,373625.994609379,0.95
