date,prophet_baseline,xgboost_res,combined_price,combined_low_mc,combined_high_mc
2026-05-17,91585.15333025661,0.021346893161535263,93561.22830505812,83721.819017773,102706.60892692758
2026-05-18,92057.05103759887,0.021842248737812042,94089.90426790906,84425.89389387523,104901.42411189519
2026-05-19,92337.12326475533,0.021956035867333412,94386.90060383774,86326.99077512014,104623.38517891295
2026-05-20,93061.94778490155,0.028339333832263947,95736.98677314437,86210.27571591701,105663.23821209687
2026-05-21,93160.97167172996,0.032962486147880554,96282.96049506901,86252.47969647264,108153.28737258771
2026-05-22,93667.99521324356,0.032962486147880554,96806.97529162612,87694.18985358352,106938.51105858637
2026-05-23,94092.21695620223,0.032962486147880554,97245.41345500601,88262.29981729329,109222.39828304794
2026-05-24,94628.10448680106,0.032575324177742004,97761.4026987789,88870.48046742001,109322.43958921505
2026-05-25,95166.27055278528,0.032575324177742004,98317.38836266629,89213.24853832317,107666.82145895984
2026-05-26,95470.23074300247,0.032575324177742004,98631.41319409854,88320.57328384224,107899.42881386122
2026-05-27,96194.80067666882,0.03202231600880623,99325.03213155697,87308.2993129224,110873.49706515159
2026-05-28,96231.03050845534,0.03159484267234802,99319.97518489252,89894.36872526883,110630.6233071098
2026-05-29,96646.03547302066,0.03218889236450195,99807.57455251443,88986.9145933538,111754.64122346112
2026-05-30,96932.45534064084,0.032147858291864395,100099.2563823491,89697.74304235427,111415.45852348833
2026-05-31,97291.57561815443,0.032147858291864395,100470.10918500024,90241.35930291441,110124.60754543281
2026-06-01,97612.49300870013,0.032147858291864395,100801.5110053802,91553.68464151247,113440.59455121764
2026-06-02,97656.41969296773,0.03194746747612953,100826.6660200468,89274.45771938209,110847.85353473751
2026-06-03,98097.54082172317,0.032147858291864395,101302.40541915387,91049.52262820155,111660.44215497776
2026-06-04,97809.86446117183,0.032147858291864395,101005.33061929684,90828.92518324584,112340.4965027012
2026-06-05,97887.55755526408,0.02732633426785469,100599.34858216887,91891.19506995956,112034.4113020042
2026-06-06,97821.44258923078,0.016449853777885437,99443.89901573896,89750.83783815907,110880.61615543645
2026-06-07,97822.71330243089,0.01572319306433201,99372.95414049999,89122.01586266312,109531.55662786038
2026-06-08,97787.1685525465,0.011984833516180515,98966.18251832057,88698.54240065024,110597.00985144744
2026-06-09,97484.68370258705,0.008811179548501968,98347.43409646861,87440.05598793182,109934.25785155455
2026-06-10,97596.53936008793,0.008411244489252567,98420.90984451884,89596.33594496368,110578.12738100451
2026-06-11,97009.56732893866,0.008411244489252567,97828.97982591594,88882.08658181492,107173.8585734837
2026-06-12,96819.14466008944,0.004404631443321705,97246.53787278659,88197.6699012287,106798.86427543493
2026-06-13,96526.02096520925,-0.0008482396951876581,96444.17847853822,85957.72697037911,106487.35209457556
2026-06-14,96344.37863845566,-0.0014699709136039019,96202.8592443475,87838.56281785971,105612.45361236333
2026-06-15,96175.71540349824,-0.0012937927385792136,96051.36442082666,85245.1560481095,105122.18633644469
2026-06-16,95797.33430733265,-0.0015449851052835584,95649.44312695516,85967.49702669522,105892.55419890843
2026-06-17,95880.9728173522,-0.0015948564978316426,95728.17829988746,86433.45614234282,106396.73908701137
2026-06-18,95333.70340098861,-0.0015948564978316426,95181.7810040702,86422.95957772767,106278.07995454154
2026-06-19,95231.2991684484,-0.001790292444638908,95060.95981717767,85641.07565638483,106830.27745843494
2026-06-20,95081.55107150962,-0.0015056097181513906,94938.50307844619,86091.73475044343,104124.75555148495
2026-06-21,95092.66957384287,-0.0008296468877233565,95013.80895424284,84954.36046085953,105405.40102391403
2026-06-22,95164.21282226208,-0.0009003920131362975,95078.5662886141,84690.5190885069,104896.75622018836
2026-06-23,95070.6585295569,0.0007985249976627529,95146.6051455371,86525.88436467228,104048.95228803654
2026-06-24,95473.27105981328,0.0016474737785756588,95630.69040695726,85736.58576837723,107081.3735989327
2026-06-25,95278.3166933866,0.0017844866961240768,95448.49137402326,85910.30539895434,105752.39385026527
2026-06-26,95550.96086830921,0.0017844866961240768,95721.62251321021,85403.60562142673,105288.61168296327
2026-06-27,95793.10424543387,0.0070119076408445835,96467.15708139584,87888.7734970272,109261.34269728954
2026-06-28,96207.00292928646,0.016325177624821663,97790.4895228627,88388.3184818255,110972.52428471437
2026-06-29,96684.68541709892,0.018591705709695816,98499.03227575563,89381.11705036068,109631.62686606258
2026-06-30,96988.85501982964,0.021726788952946663,99119.17005501525,88516.37173552792,109648.7711740692
2026-07-01,97786.94844984234,0.02203230932354927,99965.33001519769,90013.79886715964,109091.66834433895
