model_id,family,mae,rmse,mase,bias,skill_vs_naive,directional_accuracy,balanced_accuracy,mcc,beats_train_constant,parameters,fit_seconds,total_seconds,scientific_status
extra_trees,TREE_ENSEMBLE,0.016765015200927977,0.023622111754081455,1.022627984313453,-0.004034703288430791,-0.02262798431345292,0.5092198581560283,0.5085589428277105,0.04719865562515385,True,,0.3754648999984056,0.5235713999991276,EXPLORATORY
bayesian_ridge,LINEAR_ML,0.01680527826143113,0.02363547719954972,1.0250839398799205,-0.004060201161168726,-0.025083939879920525,0.49929078014184397,0.4985835694050991,-0.03763549647474908,False,12.0,0.0073178999991796445,0.007835299998987466,EXPLORATORY
decision_tree,TREE_ENSEMBLE,0.01684693199933404,0.02364772500690974,1.0276247236203622,-0.00017287269663905845,-0.027624723620362168,0.49929078014184397,0.4999476886428019,-0.0002775639803329427,False,,0.008638500001325156,0.009626100001696614,EXPLORATORY
theta,STATISTICAL,0.016914888833843237,0.023856149502561288,1.031769936724053,-0.0001268221934531164,-0.03176993672405293,0.5092198581560283,0.5092550862734999,0.018533006840287664,True,2.0,0.04061319999891566,0.043742699999711476,EXPLORATORY
random_forest,TREE_ENSEMBLE,0.01701401607713722,0.02379761023033894,1.0378164742180758,-0.00488663506652402,-0.03781647421807577,0.5078014184397163,0.5071706798866855,0.03136747764628717,True,,1.5401540999991994,1.6385994999982358,EXPLORATORY
transformer,DEEP,0.0170286383468665,0.02384024661749947,1.0387083995781263,-0.0024192128372899184,-0.03870839957812633,0.5404255319148936,0.5402354815864023,0.08352842055926706,True,2433.0,7.040532199998779,7.491588099997898,EXPLORATORY
cnn_1d,DEEP,0.017111282318230038,0.023954716089416826,1.043749494789688,-0.003181811895509591,-0.043749494789687926,0.48226950354609927,0.48189624645892354,-0.042580223366878,False,1345.0,1.6866679999984626,1.7220407999975578,EXPLORATORY
knn,KERNEL_LOCAL,0.017149262220286978,0.024073373352039497,1.0460661828582296,-0.0032626529256827254,-0.04606618285822961,0.5078014184397163,0.5074080929693536,0.01780553382098233,True,,0.006877200001326855,0.1508339000010892,EXPLORATORY
linear_svr,LINEAR_ML,0.017174787250943097,0.023889374804518443,1.047623151959454,-0.005303127498429687,-0.0476231519594541,0.5035460992907801,0.5028529809425701,0.026935569867019102,True,12.0,0.6754583999991155,0.6762438999994629,EXPLORATORY
quantile_linear,PROBABILISTIC,0.017180733569832556,0.02389470744307044,1.0479858639538744,-0.0053348163536801625,-0.047985863953874386,0.5035460992907801,0.5028529809425701,0.026935569867019102,True,84.0,0.38359070000115025,0.3893850000022212,EXPLORATORY
adaboost,TREE_ENSEMBLE,0.017267246809925398,0.024043223166132825,1.053262975800911,-0.004183903970754433,-0.053262975800911105,0.5035460992907801,0.5029495557558589,0.010907593094468288,True,,0.9773267000000487,1.0150551999995514,EXPLORATORY
huber,LINEAR_ML,0.017838898558592702,0.024453882418826872,1.0881324386950784,-0.007447638528654339,-0.08813243869507836,0.500709219858156,0.5000160958022148,0.000151963722804057,True,12.0,0.0748476999997365,0.07603659999949741,EXPLORATORY
quantile_gbr,PROBABILISTIC,0.017851685604510295,0.024587724129885524,1.088912419556134,-0.007206983426528559,-0.08891241955613394,0.5120567375886524,0.5114521632758177,0.043814508964957345,True,,11.1800046999997,11.235904799999844,EXPLORATORY
gru,DEEP,0.01829682179117222,0.024867876447407716,1.1160647195007152,-0.007959571008100843,-0.11606471950071517,0.500709219858156,0.5000885269121813,0.00036596278875778527,True,2617.0,13.744774000000689,13.932152700001097,EXPLORATORY
lasso,LINEAR_ML,0.018636960133701468,0.025163721613948125,1.1368123885865835,-0.009452686664471292,-0.1368123885865835,0.500709219858156,0.5,0.0,True,12.0,0.012384399999064044,0.013588899999376736,EXPLORATORY
pls,LINEAR_ML,0.01881608568978575,0.02533973617718236,1.1477386421069116,-0.009884744810689183,-0.14773864210691157,0.502127659574468,0.5014204545454546,0.037742415498825066,True,12.0,0.003715500000907923,0.004290299999411218,EXPLORATORY
elastic_net,LINEAR_ML,0.018856854112180545,0.02534797017645478,1.1502254236050233,-0.009900587292782502,-0.15022542360502333,0.4978723404255319,0.4971671388101983,-0.05326247144401852,False,12.0,0.002695700000913348,0.003296600001704064,EXPLORATORY
ridge_robust_scaled,LINEAR_ML,0.019009469104358894,0.025471629617713015,1.1595345927263685,-0.010156983613945998,-0.1595345927263685,0.502127659574468,0.5014325263971157,0.014448227860988042,True,12.0,0.0028108000005886424,0.003192699999999604,EXPLORATORY
conformal_ridge,PROBABILISTIC,0.019021735484692447,0.02548232796497947,1.1602828141651793,-0.010180129581484823,-0.1602828141651793,0.502127659574468,0.5014325263971157,0.014448227860988042,True,12.0,0.002972599999338854,0.00586489999841433,EXPLORATORY
ridge,LINEAR_ML,0.019021735484692447,0.02548232796497947,1.1602828141651793,-0.010180129581484823,-0.1602828141651793,0.502127659574468,0.5014325263971157,0.014448227860988042,True,12.0,0.0024594999995315447,0.0028406000001268694,EXPLORATORY
gradient_boosting,TREE_ENSEMBLE,0.0197815720377588,0.02639693790335327,1.2066311242237897,-0.010652436037114637,-0.2066311242237897,0.5120567375886524,0.5114481393252639,0.044598261959340454,True,,1.1502521000002162,1.1566615000010643,EXPLORATORY
xgboost,TREE_ENSEMBLE,0.020107505210143713,0.026691077733938237,1.2265123100803001,-0.010385788152913163,-0.22651231008030015,0.5078014184397163,0.5072270151944372,0.024643359191838268,True,,0.7821665999999823,0.7953742999998212,EXPLORATORY
hist_gradient_boosting,TREE_ENSEMBLE,0.020171363565292432,0.026796302972425724,1.2304075252187685,-0.010138380308516588,-0.2304075252187685,0.5163120567375886,0.5157899819727015,0.046660901898718736,True,,1.6252674999996088,1.7177817999981926,EXPLORATORY
nbeats,DEEP,0.020918694893946762,0.028172816653892936,1.2759930448903385,-0.006026661740063771,-0.2759930448903385,0.5148936170212766,0.51469949137265,0.03056664932945708,True,18034.0,1.279252300000735,1.299530300000697,EXPLORATORY
lstm,DEEP,0.021188084835918792,0.027856269670606712,1.2924252216615189,-0.012996593870539593,-0.29242522166151885,0.502127659574468,0.5015532449137265,0.00529640125169798,True,3481.0,16.26986509999915,16.6283560999982,EXPLORATORY
rbf_svr,KERNEL_LOCAL,0.021548718293457364,0.028304653366812142,1.3144230463779705,-0.011822140438220375,-0.31442304637797047,0.49929078014184397,0.49874452742724695,-0.00393696093351365,False,,0.09062540000013541,0.18394939999961935,EXPLORATORY
tcn,DEEP,0.023455069039396034,0.03157647833360872,1.4307061273862,-0.0035330971344349404,-0.43070612738620007,0.49929078014184397,0.4992274014936905,-0.0015514022461351712,False,2561.0,8.839878300001146,8.925693600001978,EXPLORATORY
mlp,DEEP,0.027102073050772522,0.034135352839287446,1.653165118102211,-0.019860151168194447,-0.6531651181022109,0.4836879432624113,0.48309940767447845,-0.060566869004790296,False,9025.0,0.8594825000000128,0.8898002999994787,EXPLORATORY
