date,prophet_price,combined_price,combined_low,combined_high,prob_up
2026-02-04,70326.16050980303,71072.77824522475,62209.17474333096,81214.61472119857,0.0656100964300902
2026-02-05,70103.43871641559,70847.69192575196,62012.159310332085,80957.40937245138,0.0633384684353254
2026-02-06,70063.17409330304,70806.99983323814,61976.54199585015,80910.91066088692,0.06293569842907895
2026-02-07,70058.59314206996,70802.3702483329,61972.48977412097,80905.6204504339,0.06289002649831188
2026-02-08,70129.26734595119,70873.79476495227,62035.00682136517,80987.23699536304,0.06359809811398194
2026-02-09,70263.87972039422,71009.83625176881,62154.082349783544,81142.69112577262,0.06496734836130769
2026-02-10,70270.12422221049,71016.14704834325,62159.606116499315,81149.90245091046,0.06503152744835994
2026-02-11,70536.0392670524,71284.88518045675,62394.829472524085,81456.98857304275,0.06781984730665343
2026-02-12,70360.77742594207,71107.76267187975,62239.79620438553,81254.59130298105,0.06596990048363646
2026-02-13,70340.01277564473,71086.77757365708,62221.4281924044,81230.61170475624,0.06575385571089538
2026-02-14,70326.48071180149,71073.10184664797,62209.4579878865,81214.98449941128,0.06561341619527139
2026-02-15,70360.60012354456,71107.5834871512,62239.63936608028,81254.38654921946,0.0659680529602019
2026-02-16,70432.39484026717,71180.14041253737,62303.14759752457,81337.2970936794,0.06672011121998221
2026-02-17,70351.38954391616,71098.27512339732,62231.49186373639,81243.74991456662,0.06587214314348454
2026-02-18,70509.04153825462,71257.60083025109,62370.94779867357,81425.8108416443,0.06753177511303672
2026-02-19,70208.36500588887,70953.73216525557,62104.97509651599,81078.58118265578,0.06439937099600056
2026-02-20,70049.29061617394,70792.96896216378,61964.26093786965,80894.8776336627,0.06279737575759557
2026-02-21,69889.24089266911,70631.22007065018,61822.68401763176,80710.04774196306,0.06122314288605332
2026-02-22,69773.1779567294,70513.92495246463,61720.01696726589,80576.01502131649,0.060104715409890964
2026-02-23,69695.96767912096,70435.89497188648,61651.71823437752,80486.85043586168,0.05937131029743135
2026-02-24,69474.30592163256,70211.87994218462,61455.64048883376,80230.86924618283,0.057312126338033516
2026-02-25,69499.78200018468,70237.62648754368,61478.17614001869,80260.28973337024,0.05754533771873022
2026-02-26,69089.8646199678,69823.35721915447,61115.57107596595,79786.90569163521,0.053899039814968776
2026-02-27,68840.23940441462,69571.08185731448,60894.75739095716,79498.6315194227,0.05178644894051245
2026-02-28,68613.83924157554,69342.278116978,60694.48814278722,79237.1782868773,0.04993832292275509
2026-03-01,68457.6082810631,69184.38853035697,60556.2892271578,79056.7584093586,0.04869961614242804
2026-03-02,68368.60706853347,69094.44243638824,60477.56045905092,78953.9773228765,0.04800704359154783
2026-03-03,68168.43156074913,68892.14176517644,60300.489038503845,78722.80905457525,0.046483382707510026
2026-03-04,68241.9761665701,68966.46715735986,60365.54518833173,78807.74041984919,0.0470377556960861
2026-03-05,67918.83056360585,68639.89087886112,60079.69677663664,78434.56285045904,0.04464790910384165
2026-03-06,67782.69033492071,68502.30531733677,59959.26973761622,78277.34431129,0.04367610857874157
2026-03-07,67697.1857070654,68415.89292953614,59883.63398134777,78178.60117846701,0.04307611152296694
2026-03-08,67706.29981490382,68425.10379730722,59891.69614659382,78189.12640480185,0.0431396897229525
2026-03-09,67804.4462642235,68524.2922184792,59978.5146160212,78302.46866620172,0.04383004101391484
2026-03-10,67810.99688017776,68530.9123790526,59984.309165440936,78310.03350049743,0.04387649071102602
2026-03-11,68104.76729655381,68827.80160927286,60244.172849655726,78649.28778381838,0.046008510826221954
2026-03-12,68012.5087075637,68734.56355690405,60162.56266871519,78542.74498800474,0.045328540924221596
2026-03-13,68111.71758217481,68834.82568260634,60250.32093920845,78657.31416781007,0.046060127662710754
2026-03-14,68261.71141928324,68986.41192939813,60383.00261492429,78830.5312409875,0.04718758470736664
2026-03-15,68502.37702456946,69229.6325612621,60595.89080027992,79108.45860497664,0.04905156272704803
2026-03-16,68823.93969710259,69554.60910414763,60880.33898203097,79479.80816208571,0.05165126039842732
2026-03-17,69038.47167601305,69771.41866197194,61070.10986198981,79727.55568429203,0.05345755779513218
2026-03-18,69527.37180984048,70265.50920443422,61502.58155725703,80292.15121628332,0.05779890330076062
